id,name,country,position,second_position,club,age,born,matches_played,matches_started,minutes_played,goals,assists,goals_and_assists,yellow_cards,red_cards
57,Tomás Avilés,ARG,Defender,,Inter Miami,19,2004,27,26,"2,200",0,0,0,15,2
58,Chidozie Awaziem,NGA,Defender,,FC Cincinnati,27,1997,7,7,533,0,2,2,3,0
59,David Ayala,ARG,Midfielder,,Portland Timbers,21,2002,30,19,"1,468",1,1,2,2,0
60,Hugo Bacharach,ESP,Defender,,Minnesota Utd,22,2001,1,1,90,0,0,0,0,0
61,Dominique Badji,SEN,Midfielder,Forward,D.C. United,31,1992,9,3,299,1,0,1,2,0
62,Corey Baird,USA,Forward,Midfielder,FC Cincinnati,28,1996,22,11,952,3,2,5,1,0
63,Esmir Bajraktarevic,BIH,Forward,Midfielder,NE Revolution,18,2005,29,22,"1,984",3,1,4,1,0
64,Cody Baker,USA,Defender,Midfielder,Seattle Sounders FC,20,2004,13,4,479,0,1,1,1,0
65,Reed Baker-Whiting,USA,Defender,Forward,Seattle Sounders FC,18,2005,22,6,786,0,0,0,4,1
66,Monsef Bakrar,ALG,Forward,,NYCFC,23,2001,28,14,"1,350",4,0,4,3,0
67,Michael Baldisimo,PHI,Midfielder,,SJ Earthquakes,23,2000,2,0,25,0,0,0,0,0
68,Fidel Barajas,MEX,Forward,,Real Salt Lake,17,2006,17,5,564,0,2,2,1,0
69,Tai Baribo,ISR,Forward,,Philadelphia Union,26,1998,20,16,"1,409",9,2,11,2,0
70,Tom Barlow,USA,Forward,Midfielder,Chicago Fire,28,1995,28,5,749,2,0,2,2,0
71,Luis Barraza,USA,Keeper,,NYCFC,27,1996,1,0,79,0,0,0,0,0
72,Lucas Bartlett,USA,Defender,,D.C. United,26,1997,32,31,"2,740",2,3,5,6,1
73,Ethan Bartlow,USA,Defender,,Houston Dynamo,23,2000,16,9,851,0,0,0,0,0
74,Cole Bassett,USA,Midfielder,Forward,Colorado Rapids,22,2001,30,29,"2,569",9,7,16,1,0
75,Amine Bassi,FRA,Midfielder,,Houston Dynamo,26,1997,31,30,"2,533",3,6,9,5,0
76,Zorhan Bassong,CAN,Defender,Midfielder,Sporting KC,24,1999,21,14,"1,248",0,1,1,3,1
77,Josh Bauer,USA,Defender,,Nashville SC,25,1998,26,19,"1,861",0,0,0,5,0
78,Tanner Beason,USA,Defender,,SJ Earthquakes,26,1997,26,17,"1,625",0,0,0,1,0
79,Adam Beaudry,USA,Keeper,,Colorado Rapids,17,2006,1,1,90,0,0,0,0,0
80,Gavin Beavers,USA,Keeper,,Real Salt Lake,18,2005,11,11,990,0,1,1,0,0
81,Simon Becher,USA,Forward,,St. Louis,24,1999,9,6,547,4,0,4,1,0
82,Alejandro Bedoya,USA,Midfielder,,Philadelphia Union,36,1987,30,13,"1,455",2,2,4,6,0
83,Jon Bell,JAM,Defender,,Seattle Sounders FC,26,1997,10,5,487,1,0,1,0,0
84,Matthew Bell,JAM,Forward,,Real Salt Lake,21,2002,1,0,20,0,0,0,0,0
85,Ben Bender,USA,Midfielder,Forward,Charlotte,22,2001,6,2,194,1,0,1,1,0
86,Christian Benteke,BEL,Forward,,D.C. United,33,1990,30,30,"2,594",23,5,28,8,1
87,Nimfasha Berchimas,USA,Forward,Midfielder,Charlotte,15,2008,3,0,23,0,0,0,0,0
88,Sebastian Berhalter,USA,Midfielder,Defender,Vancouver W'caps,22,2001,31,18,"1,866",2,3,5,5,0
89,Federico Bernardeschi,ITA,Defender,Midfielder,Toronto FC,29,1994,29,28,"2,457",8,6,14,13,3
90,Miguel Berry,ESP,Forward,,LA Galaxy,26,1997,31,6,826,2,3,5,1,0
91,Pep Biel,ESP,Forward,Midfielder,Charlotte,27,1996,9,8,613,2,3,5,1,0
92,Alessandro Biello,CAN,Midfielder,,CF Montréal,17,2006,2,0,16,0,0,0,0,0
93,Steve Birnbaum,USA,Defender,,D.C. United,33,1991,6,4,346,0,1,1,2,0
94,Guilherme Biro,BRA,Defender,,Austin,23,2000,31,26,"2,286",3,0,3,6,1
95,Tristan Blackmon,USA,Defender,,Vancouver W'caps,27,1996,25,21,"1,886",0,1,1,4,0
96,Andre Blake,JAM,Keeper,,Philadelphia Union,33,1990,14,14,"1,112",0,0,0,1,0
